Wed Mar 27 20:34:40 CST 2019 @ StrategyMatrix8012.paretoFrontType: 3
Value 	 Freq. 	 Pct. 	 Cum Pct. 
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Double]	3	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Stand]	5	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Giveup]	8	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	8	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Giveup]	3	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Hit]	5	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	8	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Start_With_Pair], playerAction=Hit]	8	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	4	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Stand]	4	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Start_With_Pair], playerAction=Giveup]	8	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Start_With_Pair], playerAction=Split]	8	0%	4%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	8	0%	4%
