Thu Mar 28 22:48:42 CST 2019 @ StrategyMatrix8012.paretoFrontType: 6
Value 	 Freq. 	 Pct. 	 Cum Pct. 
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Giveup]	1	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Stand]	1	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Start_With_Pair], playerAction=Hit]	1	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Start_With_Pair], playerAction=Giveup]	1	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Start_With_Pair], playerAction=Split]	1	0%	4%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	1	0%	4%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Ten, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Double]	1	0%	5%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	5%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Giveup]	1	0%	6%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Three_More_Cards], playerAction=Stand]	1	0%	6%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	6%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	1	0%	7%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Three_More_Cards], playerAction=Hit]	1	0%	7%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	8%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	1	0%	8%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Three_More_Cards], playerAction=Stand]	1	0%	8%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	9%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	1	0%	9%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Three_More_Cards], playerAction=Hit]	1	0%	10%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	10%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Giveup]	1	0%	10%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Three_More_Cards], playerAction=Stand]	1	0%	11%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	11%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Double]	1	0%	12%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Five5, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	12%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Five5, situation=Start_With_Pair], playerAction=Double]	1	0%	12%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Four4, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	13%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Four4, situation=Start_With_A], playerAction=Hit]	1	0%	13%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Four4, situation=Start_With_Pair], playerAction=Double]	1	0%	14%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	14%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Double]	1	0%	14%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	15%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=One1, situation=Start_With_Pair], playerAction=Hit]	1	0%	15%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Seven7, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	16%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Seven7, situation=Start_With_Pair], playerAction=Double]	1	0%	16%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Six6, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	16%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Six6, situation=Start_With_Pair], playerAction=Split]	1	0%	17%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	17%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Ten, situation=Start_With_Pair], playerAction=Hit]	1	0%	18%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Three3, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	18%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Three3, situation=Start_With_A], playerAction=Giveup]	1	0%	18%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Three3, situation=Start_With_Pair], playerAction=Double]	1	0%	19%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	19%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Two2, situation=Start_With_Pair], playerAction=Split]	1	0%	20%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	20%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Hit]	1	0%	20%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Five5, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	21%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Five5, situation=Start_With_Pair], playerAction=Split]	1	0%	21%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Four4, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	22%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Four4, situation=Start_With_A], playerAction=Hit]	1	0%	22%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Four4, situation=Start_With_Pair], playerAction=Hit]	1	0%	22%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	23%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Hit]	1	0%	23%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	24%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=One1, situation=Start_With_Pair], playerAction=Stand]	1	0%	24%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Seven7, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	24%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Seven7, situation=Start_With_Pair], playerAction=Hit]	1	0%	25%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Six6, situation=Splited_Pair_And_Can_Split], playerAction=Split]	1	0%	25%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Six6, situation=Start_With_Pair], playerAction=Split]	1	0%	25%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Stand]	1	0%	26%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Ten, situation=Start_With_Pair], playerAction=Hit]	1	0%	26%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Three3, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	27%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Three3, situation=Start_With_A], playerAction=Hit]	1	0%	27%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Three3, situation=Start_With_Pair], playerAction=Giveup]	1	0%	27%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	1	0%	28%
Result [matrixKey=MatrixKey [startValue=Four, dealerCard=Two2, situation=Start_With_Pair], playerAction=Split]	1	0%	28%
Result [matrixKey=MatrixKey [startValue=Fourteen, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	29%
Result [matrixKey=MatrixKey [startValue=Fourteen, dealerCard=Eight8, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	1	0%	29%
Result [matrixKey=MatrixKey [startValue=Fourteen, dealerCard=Eight8, situation=Three_More_Cards], playerAction=Stand]	1	0%	29%
