Mon Sep 24 21:00:38 CST 2018
Value 	 Freq. 	 Pct. 	 Cum Pct. 
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Double]	1	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	7	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Hit]	8	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Five5, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Five5, situation=Start_With_Pair], playerAction=Split]	8	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Four4, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Four4, situation=Start_With_Pair], playerAction=Split]	8	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	2	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Split]	6	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Giveup]	8	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	8	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Start_With_Pair], playerAction=Hit]	8	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Seven7, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Seven7, situation=Start_With_Pair], playerAction=Split]	8	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Six6, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Six6, situation=Start_With_Pair], playerAction=Split]	8	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Stand]	8	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Start_With_Pair], playerAction=Giveup]	8	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Three3, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Three3, situation=Start_With_Pair], playerAction=Split]	8	0%	6%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Split]	8	0%	6%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Start_With_Pair], playerAction=Split]	8	0%	6%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	8	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Eight8, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Double]	8	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Five5, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	8	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Five5, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Double]	8	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Four4, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	8	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Four4, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Double]	8	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Nine9, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	8	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Nine9, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Double]	8	0%	9%
