Wed Sep 26 00:14:27 CST 2018
Value 	 Freq. 	 Pct. 	 Cum Pct. 
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Double]	20	0%	0%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Eight8, situation=Start_With_Pair], playerAction=Hit]	20	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Five5, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	19	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Five5, situation=Splited_Pair_And_Can_Split], playerAction=Stand]	1	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Five5, situation=Start_With_Pair], playerAction=Stand]	20	0%	1%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Four4, situation=Splited_Pair_And_Can_Split], playerAction=Split]	20	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Four4, situation=Start_With_Pair], playerAction=Stand]	20	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	16	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Splited_Pair_And_Can_Split], playerAction=Split]	4	0%	2%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Nine9, situation=Start_With_Pair], playerAction=Giveup]	20	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Splited_Pair_And_Can_Split], playerAction=Double]	20	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=One1, situation=Start_With_Pair], playerAction=Hit]	20	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Seven7, situation=Splited_Pair_And_Can_Split], playerAction=Double]	20	0%	3%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Seven7, situation=Start_With_Pair], playerAction=Hit]	20	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Six6, situation=Splited_Pair_And_Can_Split], playerAction=Double]	20	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Six6, situation=Start_With_Pair], playerAction=Stand]	20	0%	4%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Splited_Pair_And_Can_Split], playerAction=Split]	20	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Ten, situation=Start_With_Pair], playerAction=Giveup]	20	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Three3, situation=Splited_Pair_And_Can_Split], playerAction=Hit]	20	0%	5%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Three3, situation=Start_With_Pair], playerAction=Stand]	20	0%	6%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Splited_Pair_And_Can_Split], playerAction=Split]	20	0%	6%
Result [matrixKey=MatrixKey [startValue=Eight, dealerCard=Two2, situation=Start_With_Pair], playerAction=Stand]	20	0%	6%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	1	0%	6%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	19	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Eight8, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Five5, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	20	0%	7%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Five5, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Four4, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	20	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Four4, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Nine9, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	20	0%	8%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Nine9, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	9%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Seven7, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	1	0%	9%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Seven7, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	19	0%	9%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Seven7, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	9%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Six6, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	20	0%	10%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Six6, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	10%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	20	0%	10%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Ten, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	11%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Three3, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	20	0%	11%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Three3, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	11%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Two2, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	20	0%	12%
Result [matrixKey=MatrixKey [startValue=Eleven, dealerCard=Two2, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	12%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	20	0%	12%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	13%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Eight8, situation=Three_More_Cards], playerAction=Hit]	20	0%	13%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	2	0%	13%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	18	0%	13%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	13%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Nine9, situation=Three_More_Cards], playerAction=Hit]	20	0%	14%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	20	0%	14%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	14%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=One1, situation=Three_More_Cards], playerAction=Hit]	20	0%	15%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Stand]	20	0%	15%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Hit]	20	0%	15%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Seven7, situation=Three_More_Cards], playerAction=Hit]	20	0%	16%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Double]	19	0%	16%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Splited_Pair_And_Can_NOT_Split], playerAction=Hit]	1	0%	16%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Start_Hand_WithoutA_WithoutPair], playerAction=Giveup]	20	0%	16%
Result [matrixKey=MatrixKey [startValue=Fifteen, dealerCard=Ten, situation=Three_More_Cards], playerAction=Hit]	20	0%	17%
Result [matrixKey=MatrixKey [startValue=Five, dealerCard=Eight8, situation=Splited_Pair_And_Can_Split], playerAction=Double]	20	0%	17%
